행정동,업종,키워드,카운트
가회동,동남아시아,가지튀김,1
가회동,동남아시아,고기,1
가회동,동남아시아,귀한,1
가회동,동남아시아,기대한,1
가회동,동남아시아,깔끔한,1
가회동,동남아시아,꽃게,1
가회동,동남아시아,넓은,1
가회동,동남아시아,달다,1
가회동,동남아시아,담백한,1
가회동,동남아시아,마음,1
가회동,동남아시아,맛있는,3
가회동,동남아시아,맛있는 음식,1
가회동,동남아시아,맛있는 팟타이,1
가회동,동남아시아,베트남,1
가회동,동남아시아,분짜,1
가회동,동남아시아,사장님,1
가회동,동남아시아,쌀국수,1
가회동,동남아시아,아쉬운,1
가회동,동남아시아,운영되는,1
가회동,동남아시아,웨이팅,1
가회동,동남아시아,주말,1
가회동,동남아시아,커리,2
가회동,동남아시아,큰,1
가회동,동남아시아,태국,1
가회동,동남아시아,팟타이,2
가회동,동남아시아,환기,1
가회동,분식,가성비,2
가회동,분식,간단하게 먹는,1
가회동,분식,관광객,1
가회동,분식,기름,1
가회동,분식,김밥,4
가회동,분식,깔끔한,1
가회동,분식,깨끗한,1
가회동,분식,내장,1
가회동,분식,단무지,1
가회동,분식,당근,1
가회동,분식,동네,1
가회동,분식,된장찌개,1
가회동,분식,든든한,1
가회동,분식,떡볶이,1
가회동,분식,라면,2
가회동,분식,맛없는,1
가회동,분식,맛있는,4
가회동,분식,맛있는 김밥,1
가회동,분식,별로,1
가회동,분식,분식점,1
가회동,분식,분식집,1
가회동,분식,불친절한,1
가회동,분식,사장님,1
가회동,분식,소풍,1
가회동,분식,손님,1
가회동,분식,참치김밥,1
가회동,분식,친절한,1
가회동,분식,큰,1
가회동,분식,튀김,1
가회동,분식,햄,1
가회동,분식,혼밥,2
가회동,서양식,가볍게,1
가회동,서양식,가성비,1
가회동,서양식,갈비,1
가회동,서양식,경붕궁,1
가회동,서양식,고기,1
가회동,서양식,국물,1
가회동,서양식,귀여운,1
가회동,서양식,기다림,1
가회동,서양식,기대한,1
가회동,서양식,나이스,1
가회동,서양식,남자친구,1
가회동,서양식,달팽이,1
가회동,서양식,대화,1
가회동,서양식,대화하기 좋은,1
가회동,서양식,돈까스,1
가회동,서양식,둘이서,1
가회동,서양식,등심,1
가회동,서양식,레귤러,1
가회동,서양식,로맨틱,1
가회동,서양식,맛있는,9
가회동,서양식,맛집,1
가회동,서양식,매운,1
가회동,서양식,배부른,2
가회동,서양식,부드러운,1
가회동,서양식,분위기,3
가회동,서양식,뷰,1
가회동,서양식,사장님,2
가회동,서양식,샐러드,1
가회동,서양식,서비스,1
가회동,서양식,서빙,1
가회동,서양식,세트,2
가회동,서양식,소스,2
가회동,서양식,스테이크,1
가회동,서양식,스프,1
가회동,서양식,식후,1
가회동,서양식,아쉬운,2
가회동,서양식,안주,1
가회동,서양식,양,1
가회동,서양식,양고기,1
가회동,서양식,양파스프,1
가회동,서양식,엄마랑,1
가회동,서양식,연말,1
가회동,서양식,예쁜,1
가회동,서양식,오므라이스,1
가회동,서양식,와인,1
가회동,서양식,요리,1
가회동,서양식,웨이팅,1
가회동,서양식,인테리어,2
가회동,서양식,작은,1
가회동,서양식,저녁,1
가회동,서양식,적당한,1
가회동,서양식,적은,1
가회동,서양식,점심,1
가회동,서양식,조명,1
가회동,서양식,조용한,1
가회동,서양식,좋은 분위기,1
가회동,서양식,즐기는,1
가회동,서양식,추천하는,1
가회동,서양식,치즈,1
가회동,서양식,친구랑,2
가회동,서양식,친절한,6
가회동,서양식,카레,1
가회동,서양식,케이크,1
가회동,서양식,코스,1
가회동,서양식,크림,1
가회동,서양식,타코,1
가회동,서양식,테이블,1
가회동,서양식,특별한,2
가회동,서양식,파스타,3
가회동,서양식,파히타,1
가회동,서양식,피자,1
가회동,서양식,협소한,1
가회동,서양식,호랑이,1
가회동,서양식,혼밥,1
가회동,서양식,후식,1
가회동,일식,가까운,1
가회동,일식,가성비,1
가회동,일식,강추,1
가회동,일식,국물,1
가회동,일식,굴,1
가회동,일식,기다림,1
가회동,일식,깔끔한,1
가회동,일식,꼬막비빔밥,1
가회동,일식,넓은,1
가회동,일식,뇨끼,1
가회동,일식,느린,1
가회동,일식,다양한,1
가회동,일식,단계,1
가회동,일식,대화,1
가회동,일식,돈까스,1
가회동,일식,동네,1
가회동,일식,등심,1
가회동,일식,딱딱한,1
가회동,일식,라멘,1
가회동,일식,마늘,1
가회동,일식,맛있는,6
가회동,일식,맛집,3
가회동,일식,매운,1
가회동,일식,머리카락 나온,1
가회동,일식,면,1
가회동,일식,무난한,1
가회동,일식,무한리필,1
가회동,일식,묵직한,1
가회동,일식,밥,1
가회동,일식,부드러운,2
가회동,일식,분위기,2
가회동,일식,불편한,1
가회동,일식,사시미,1
가회동,일식,사장님,2
가회동,일식,생선회,1
가회동,일식,소금,1
가회동,일식,소스,2
가회동,일식,신경쓴,1
가회동,일식,신선한,1
가회동,일식,안심,1
가회동,일식,안주,1
가회동,일식,오래된,1
가회동,일식,오래된 밥,1
가회동,일식,웨이팅,2
가회동,일식,점심,1
가회동,일식,조용한,1
가회동,일식,좋은 분위기,1
가회동,일식,청결한,1
가회동,일식,초밥,1
가회동,일식,친절한,2
가회동,일식,카레,1
가회동,일식,큰,1
가회동,일식,파스타,1
가회동,일식,포장,1
가회동,일식,해물탕,1
가회동,일식,혼밥,1
가회동,일식,후토마끼,1
가회동,주점,감자,1
가회동,주점,골든에일,1
가회동,주점,공간,1
가회동,주점,기네스,1
가회동,주점,깔끔한,2
가회동,주점,깨끗한,1
가회동,주점,나무,1
가회동,주점,넓은,1
가회동,주점,다양한,1
가회동,주점,단체,1
가회동,주점,데이트,2
가회동,주점,돋보이는,1
가회동,주점,만석,1
가회동,주점,만족하는,1
가회동,주점,맛있는,6
가회동,주점,매니저,1
가회동,주점,매콤한,1
가회동,주점,맥주,2
가회동,주점,물가,1
가회동,주점,바나나,1
가회동,주점,바나나푸딩,1
가회동,주점,바베큐,1
가회동,주점,베이커리,1
가회동,주점,별로,1
가회동,주점,복잡한,1
가회동,주점,분위기,5
가회동,주점,불편한,1
가회동,주점,비올,1
가회동,주점,빵,2
가회동,주점,사장님,2
가회동,주점,생맥주,1
가회동,주점,센스,1
가회동,주점,손님,2
가회동,주점,쇼비뇽,1
가회동,주점,숯불,1
가회동,주점,아쉬운,2
가회동,주점,안주,3
가회동,주점,알려진,1
가회동,주점,어울리는,1
가회동,주점,예쁜,2
가회동,주점,와인,1
가회동,주점,위스키,1
가회동,주점,음악,1
가회동,주점,인테리어,1
가회동,주점,조용한,1
가회동,주점,좋은 사장님,1
가회동,주점,좌석,1
가회동,주점,직원,1
가회동,주점,치맥,1
가회동,주점,치킨,1
가회동,주점,친절한,2
가회동,주점,커피,3
가회동,주점,편한,2
가회동,주점,푸딩,1
가회동,주점,한옥,1
가회동,주점,한잔,1
가회동,주점,향,1
가회동,중식,가성비,1
가회동,중식,간짜장,1
가회동,중식,넓은,1
가회동,중식,다양한,1
가회동,중식,라면,1
가회동,중식,맛있는,1
가회동,중식,매운,1
가회동,중식,모임,1
가회동,중식,분위기,1
가회동,중식,중국집,1
가회동,카페,가성비,3
가회동,카페,가성비 좋은,2
가회동,카페,건강한,1
가회동,카페,계란,1
가회동,카페,고급스러운,1
가회동,카페,고소한,1
가회동,카페,고양이,1
가회동,카페,공간,1
가회동,카페,귀여운,2
가회동,카페,그릭요거트,1
가회동,카페,기대한,1
가회동,카페,깔끔한,2
가회동,카페,꼬끄,1
가회동,카페,낮술,1
가회동,카페,다양한,3
가회동,카페,달다,1
가회동,카페,더치커피,1
가회동,카페,두꺼운,1
가회동,카페,디저트,1
가회동,카페,따뜻한,2
가회동,카페,딸기,1
가회동,카페,라떼,1
가회동,카페,라우겐,1
가회동,카페,라우겐 크루아상,1
가회동,카페,라자냐,1
가회동,카페,마카롱,1
가회동,카페,맛있는,16
가회동,카페,맛있는 라떼,2
가회동,카페,맛있는 붕어빵,1
가회동,카페,맛있는 커피,3
가회동,카페,맛집,2
가회동,카페,맥주,1
가회동,카페,면,1
